AQI,weekday,speed,travel_time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Precipitation,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions,Wx,Wy,Day sin,Day cos,Year sin,Year cos
28.0,4.0,33.457916666666655,179.75,27.39999999999984,27.39999999999984,27.39999999999984,20.60000000000009,75.24000000000035,0.0,0.0,9.900000000000054,0.0,1006.5999999999996,0.0,-5.022519540362239,-0.8856057061013415,0.8660254037875574,-0.4999999999945981,0.0035839042191753,0.9999935777946516
28.0,4.0,33.25874999999997,179.15384615384616,36.0,36.0,36.0,28.0,72.61999999999998,0.0,0.0,9.900000000000054,0.0,1005.5,0.0,-9.617096295401042,-4.690571270643103,0.7071067811946902,-0.707106781178405,0.0043006810120872,0.9999907520286536
28.0,4.0,32.79429487179487,192.2596153846154,40.200000000000166,40.200000000000166,40.200000000000166,29.30000000000004,64.87999999999991,0.0,0.0,9.900000000000054,0.0,1004.7000000000058,0.0,-10.045894683899435,-5.7999999999999705,0.500000000001941,-0.8660254037833179,0.0050174555954083,0.9999874124904512
29.0,4.0,29.3791987179487,210.34294871794876,46.10000000000024,46.10000000000024,46.10000000000024,29.800000000000026,52.89999999999975,0.0,0.0,9.900000000000054,0.0,1004.0999999999996,0.0,-12.49323724355846,-6.093358940368189,0.2588190451097837,-0.9659258262871222,0.0057342276009332,0.99998355918176
30.0,4.0,27.25605769230769,242.42307692307693,48.700000000000266,48.700000000000266,48.700000000000266,29.899999999999824,48.12000000000031,0.0,0.0,9.900000000000054,0.0,1001.9000000000004,0.0,-15.009860573196004,-7.320798151377545,1.279703058331528e-11,-1.0,0.0064509966602873,0.9999791921045602
30.0,4.0,29.801121794871808,202.91666666666663,51.10000000000025,51.10000000000025,51.10000000000025,31.100000000000183,46.09000000000012,0.0,0.0,9.900000000000054,0.0,999.4000000000004,0.0,-14.46262424320004,-8.349999999999953,-0.2588190450991178,-0.96592582628998,0.0071677624052679,0.9999743112610952
31.0,4.0,29.51628205128206,202.3205128205128,53.0,53.0,53.0,31.100000000000183,43.05999999999991,0.0,0.0,9.900000000000054,0.0,998.5,0.0,-13.337213017789717,-10.050310886639144,-0.4999999999923782,-0.8660254037888391,0.0078845244676174,0.9999689166538726
32.0,4.0,28.881057692307703,209.03846153846155,53.60000000000022,53.60000000000022,53.60000000000022,31.89999999999981,43.42000000000006,0.0,0.0,9.900000000000054,0.0,998.0,0.0,-12.905533821809424,-11.218609395737698,-0.7071067811868822,-0.707106781186213,0.0086012824790799,0.999963008285664
33.0,4.0,27.325448717948696,220.41666666666663,52.2999999999997,52.2999999999997,52.2999999999997,32.70000000000004,47.20000000000025,0.0,0.0,9.900000000000054,0.0,998.0,0.0,-12.29705831449913,-8.93433583484554,-0.8660254037820363,-0.5000000000041609,0.0093180360714016,0.9999565861595052
34.0,4.0,26.833621794871775,226.72115384615384,49.20000000000027,49.20000000000027,49.20000000000027,34.0,55.629999999999725,0.0,0.0,9.900000000000054,0.0,998.4000000000004,0.0,-7.267583141430325,-5.476516710683606,-0.9659258262864588,-0.2588190451122597,0.0100347848763312,0.9999496502786956
35.0,4.0,27.347724358974347,222.22435897435895,43.79999999999978,43.79999999999978,43.79999999999978,33.29999999999995,66.33000000000031,0.0,0.0,9.900000000000054,0.0,998.9000000000004,0.0,0.3168602928533857,-2.5806199942674515,-1.0,-8.084595065429481e-13,0.0107515285256195,0.9999422006467988
37.0,4.0,28.18589743589744,222.31730769230768,41.89999999999977,41.89999999999977,41.89999999999977,33.10000000000019,70.79999999999959,0.0,0.0,9.900000000000054,12.900000000000064,999.0,0.0,-3.474925444334637,-1.770562948984231,-0.9659258262906436,0.2588190450966418,0.0114682666510203,0.999934237267642
38.0,4.0,28.926666666666662,216.75,42.89999999999977,42.89999999999977,42.89999999999977,34.299999999999926,71.68000000000022,0.0,0.0,9.900000000000054,25.0,998.9000000000004,0.0,0.6093467170257384,-4.96273075820661,-0.8660254037901207,0.4999999999901583,0.0121849988842899,0.9999257601453168
40.0,4.0,29.24381410256413,282.7852564102564,43.0,43.0,43.0,35.200000000000095,73.75,0.0,0.0,9.900000000000054,1.399999999999993,997.5999999999996,0.0,-5.374011537017731,-5.374011537017729,-0.7071067811880255,0.7071067811850696,0.0129017248571878,0.9999167692841788
43.0,4.0,33.58483974358972,191.24358974358972,42.10000000000023,42.10000000000023,42.10000000000023,34.3999999999998,74.11000000000033,0.0,0.0,9.900000000000054,1.399999999999993,998.2999999999942,0.0,-8.30888721782426,-4.605691392340201,-0.5000000000063809,0.8660254037807547,0.0136184442014769,0.9999072646888466
45.0,4.0,32.16705128205128,242.3589743589744,42.0,42.0,42.0,33.89999999999981,72.90000000000022,0.0,0.0,9.900000000000054,4.299999999999975,997.7999999999942,0.0,-9.085973387442342,-5.459403594046544,-0.2588190451147357,0.9659258262857952,0.0143351565489231,0.999897246364204
48.0,5.0,30.363749999999985,223.23076923076923,41.89999999999977,41.89999999999977,41.89999999999977,33.89999999999981,73.09000000000012,0.0,0.0,9.900000000000054,4.799999999999973,998.0,0.0,-6.242416534010148,-5.620697093414441,-3.3718036581374667e-12,1.0,0.0150518615312963,0.9998867143153982
49.0,5.0,28.82996794871793,192.15064102564105,41.0,41.0,41.0,33.29999999999995,73.79000000000055,0.0,0.0,9.900000000000054,4.299999999999975,998.0999999999996,0.0,-6.616046845367536,-3.0851133107071003,0.2588190450941658,0.965925826291307,0.0157685587804267,0.9998756685478392
50.0,5.0,26.53336538461538,232.59615384615384,41.0,41.0,41.0,33.79999999999994,75.33000000000048,0.0,0.0,9.900000000000054,4.799999999999973,998.2000000000058,0.0,-5.182866329025041,-5.96220568375993,0.5000000000005407,0.8660254037841264,0.0164852479279781,0.9998641090672036
50.0,5.0,28.4016346153846,191.81089743589743,40.0,40.0,40.0,33.89999999999981,78.65000000000032,0.0,0.0,9.900000000000054,4.299999999999975,998.2000000000058,0.0,-5.1073125824043935,-4.932074430258852,0.707106781183257,0.707106781189838,0.017201928605789,0.9998520358794302
50.0,5.0,32.245512820512815,174.59935897435898,40.29999999999984,40.29999999999984,40.29999999999984,33.89999999999981,77.56999999999977,0.0,0.0,9.900000000000054,4.799999999999973,999.0,0.0,-3.3767620170931845,-5.199757521261656,0.866025403779473,0.5000000000086008,0.0179186004456455,0.9998394489907214
